,Unnamed: 0,Unnamed: 0.1,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,text
43,43,43,1082976020163117056,2019-01-09 12:22:58,285,HWinckelmann,3700,"London, Europe","RT @Andrew_Adonis: ‘Mrs May is behaving as if she is at Dunkirk. But this time the boats aren’t coming. For as throughout Brexit, the defea…"
44,44,44,1082976019374583808,2019-01-09 12:22:58,649,YesArgyll,2874,Oban,RT @80_mcswan: Tonight all 13 Scottish Tories betrayed their constituents all 13 failed to vote against a No deal Brexit. Tonight 13 Scotti…
45,45,45,1082976018795765760,2019-01-09 12:22:58,111,GTLynes1,69,"England, United Kingdom","RT @LeaveEUOfficial: WATCH | ""It wouldn't be a crash out!"" Sammy Wilson MP says there is ""nothing to fear at all"" from a WTO Brexit and hig…"
46,46,46,1082976018355376128,2019-01-09 12:22:58,76,Hughesy1964,2897,North Wales,RT @JamesMelville: I have never voted Tory. I will never vote Tory. So it’s somewhat bizarre when I get a pile on from various Corbyn suppo…
47,47,47,1082976018103717888,2019-01-09 12:22:58,2,rebeccadmoy,2019,"Ipswich, England","RT @JamesGurd: Dear #ecomchat friends, interested in your views: Given the uncertainty over #Brexit, which do you consider to be the best…"
48,48,48,1082976017910845441,2019-01-09 12:22:58,0,CeitidhD,35,"Lomas Orbiter, Wolf 359",@tomwalsh68 @HappyBadgerUK @hop_addict @PolhomeEditor @SophieCLeighton I'm glad you believe in those things. I do t…
49,49,49,1082976017235562496,2019-01-09 12:22:57,2,Tonygoode,3012,"Newcastle Upon Tyne, EU","RT @Bakehouse2016: A general election is not the solution, Jeremy Corbyn. #Brexit is the single issue that must be sorted before anything e…"
50,50,50,1082976016962863104,2019-01-09 12:22:57,560,simarkuk,1202,"England, UK","RT @RobertJenrick: To be clear, today’s amendment to the Finance Bill does not limit the ability to raise taxes in any Brexit scenario, nor…"
51,51,51,1082976016614768640,2019-01-09 12:22:57,37,rdunbar83,3050,"Bradford, England","RT @UKLabour: Theresa May is holding the country to ransom on Brexit, and for what? Nothing has changed. Share the facts #PMQs 👇"
52,52,52,1082976013884313601,2019-01-09 12:22:57,13,GTakesOnPolRisk,65,"Johannesburg, South Africa",RT @POLITICOEurope: The EU is clear that it won't offer Theresa May anything new to help sweeten her #Brexit deal
53,53,53,1082976011858468864,2019-01-09 12:22:56,0,Randomcomplime2,3387,UK And Europe,@DavidLammy @theresa_may 🙋‍♂️ No Brexit at all please
54,54,54,1082976011292160000,2019-01-09 12:22:56,1249,LizzieP1968,12,,"RT @TiceRichard: The most irresponsible act I can recall ever committed by MPs: having voted to leave the EU on March 29, with or without a…"
55,55,55,1082976011183144960,2019-01-09 12:22:56,837,SusanAshcroft4,235,manchester,RT @patel4witham: EU Leaders are not on the side of the British people. Their aim is simple. To reverse the result of the Referendum and pu…
